ProjectId,Project,ProjectType,ProjectCategory,City,Locality,SubLocality,Address,Landmark,Pincode,Configuration,BHK,PropertyCategory,PropertyType,PriceRaw,Price_INR,CarpetArea,Possession,Bathrooms,Balcony,ParkingType,FurnishedType,Lift,AgeOfProperty,Amenities,ProjectSummary,AboutProperty,MaintenanceCharges,FloorPlanImage,PropertyImages,Status,ProjectAge,ReraId,Slug
cmfcd6uup005fvca03vhph9j1,Bhoomi antara ,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",R City,400077,2BHK,2.0,RESIDENTIAL,2BHK,17000000,17000000.0,518.71,Not Specified,2,0.0,,UNFURNISHED,False,,,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089519-382dc615d1a8a01c.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089520-1fd3665afc1a746a.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800045215\""]""]",luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979
cmfcd6uup005fvca03vhph9j1,Bhoomi antara ,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",R City,400077,3BHK,3.0,RESIDENTIAL,3BHK,37000000,37000000.0,1098.46,Not Specified,3,0.0,,UNFURNISHED,False,,,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089524-85f5063857a9e066.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089525-9e16be48ea1c5dca.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800045215\""]""]",luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,BOTH,COMPLEX,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Criticare Hospital,400059,1BHK,1.0,RESIDENTIAL,1BHK,12000000,12000000.0,425.39,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900104-d2b27e1086902c25.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-0cd46f586c660d51.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800047081\""]""]",luxury-arkade-prime-ashoknagar-chembur-mumbai-906049
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,BOTH,COMPLEX,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Criticare Hospital,400059,2BHK,2.0,RESIDENTIAL,2BHK,17000000,17000000.0,589.43,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-92746a06993e21a1.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900106-3270032d1b3b29a6.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800047081\""]""]",luxury-arkade-prime-ashoknagar-chembur-mumbai-906049
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,BOTH,COMPLEX,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Criticare Hospital,400059,,,RESIDENTIAL,Office space,21000000,21000000.0,710.63,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900106-2052b7fd49a2faaa.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900108-5b7ad0636af0eef0.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800047081\""]""]",luxury-arkade-prime-ashoknagar-chembur-mumbai-906049
cmfcg9ren0001vc209rw25eve,Glory,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcfoprz0081vca0fus0zwq5," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033", Sarai Sport Acadamy,411033,2BHK,2.0,RESIDENTIAL,2BHK,67000000,67000000.0,835.0,Not Specified,0,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263429-b34f6e00dad04cee.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263441-db4005e8699b54f5.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P52100077028\""]""]",luxury-glory-katewasti-punawale-pune-268353
cmfcg9ren0001vc209rw25eve,Glory,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcfoprz0081vca0fus0zwq5," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033", Sarai Sport Acadamy,411033,3BHK,3.0,RESIDENTIAL,3BHK,86000000,86000000.0,1064.0,Not Specified,3,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263442-37973fcf73632905.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263443-efccc3b7b11a9cf6.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P52100077028\""]""]",luxury-glory-katewasti-punawale-pune-268353
cmfdmdqmq0008vc90svu2sfto,Antriksh,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfdkuymm0001vc90iiyzkr8d,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,1BHK,1.0,RESIDENTIAL,1BHK,5649000,5649000.0,269.1,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991474-f7da47510a2039a9.jpeg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991482-830ba2f79d951b2a.jpg""]",UNDER_CONSTRUCTION,,"[""P52100019454"",""P52100047488""]",luxury-antriksh-somwarpeth-camp-pune-997560
cmfdmdqmq0008vc90svu2sfto,Antriksh,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfdkuymm0001vc90iiyzkr8d,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,2BHK,2.0,RESIDENTIAL,2BHK,14300000,14300000.0,685.0,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991488-c0b949b98960c0ed.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991494-9ac904a02c4e153c.jpg""]",UNDER_CONSTRUCTION,,"[""P52100019454"",""P52100047488""]",luxury-antriksh-somwarpeth-camp-pune-997560
cmfdmdqmq0008vc90svu2sfto,Antriksh,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfdkuymm0001vc90iiyzkr8d,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,3BHK,3.0,RESIDENTIAL,3BHK,22900000,22900000.0,1095.0,Not Specified,3,2.0,,UNFURNISHED,False,,Balcony,,,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991499-74fa17a4c97985e2.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991505-2373b8e162de669f.jpg""]",UNDER_CONSTRUCTION,,"[""P52100019454"",""P52100047488""]",luxury-antriksh-somwarpeth-camp-pune-997560
